Variable Name,Purpose,Environment Scope,Classification,Owner,Storage Location,Verification Method,Gate Note
EXCHANGE_SMTP_USER,Service account username for the Exchange SMTP relay,SIT/UAT/PROD,Secret,AHDA IT (Messaging),Approved secret-management platform,Test email delivered and received,
EXCHANGE_SMTP_PASSWORD,Service account password/app-password for the Exchange SMTP relay,SIT/UAT/PROD,Secret,AHDA IT (Messaging),Approved secret-management platform,Test email delivered and received; rotation tested,
NAFATH_CLIENT_ID,Nafath integration client identifier (subject to PTBC-031 scope confirmation),SIT/UAT/PROD,Secret,AHDA IT (Identity) / Security Lead,Approved secret-management platform,Test Nafath verification round-trip succeeds in a sandbox,Confirmed in scope (ADR-007) for EXTERNAL entity identity verification only. Never used for internal sign-in. Data-minimization boundary still open (OQ-007).
NAFATH_CLIENT_SECRET,Nafath integration client secret,SIT/UAT/PROD,Secret,AHDA IT (Identity) / Security Lead,Approved secret-management platform,Test Nafath verification round-trip succeeds in a sandbox,
NAFATH_CALLBACK_URL,Registered callback URL for the Nafath verification flow,SIT/UAT/PROD,Public,AHDA IT (Identity),Application configuration store,Callback completes without a redirect-mismatch error,
NAFATH_APP_ID,Registered application identifier with the Nafath platform,SIT/UAT/PROD,Public,AHDA IT (Identity),Application configuration store,Verification request accepted by Nafath sandbox/production endpoint,
DOCUMENT_STORAGE_CONNECTION_STRING,Connection string/credentials for private object storage backing WF-12 documents,DEV/SIT/UAT/PROD,Secret,DevOps/Platform Lead,Approved secret-management platform,Upload/download round-trip succeeds via WF-12 API,Object storage must be in an in-Kingdom region (ADR-001).
DOCUMENT_STORAGE_BACKUP_CONNECTION_STRING,Connection string for the document-store backup target,SIT/UAT/PROD,Secret,DevOps/Platform Lead,Approved secret-management platform,Backup job completes and is visible in provider console,
MALWARE_SCAN_API_KEY,API key for the document malware-scanning provider,SIT/UAT/PROD,Secret,Security Lead,Approved secret-management platform,EICAR test file is correctly flagged QUARANTINED,
SIEM_ENDPOINT_URL,Ingestion endpoint for AHDA's SIEM platform,SIT/UAT/PROD,Public,AHDA Cybersecurity,Application configuration store,Test audit event appears in SIEM within expected latency,"Forwarding scope depends on the audit catalogue, still open."
SIEM_API_TOKEN,Authentication token for forwarding audit/security events to SIEM,SIT/UAT/PROD,Secret,AHDA Cybersecurity,Approved secret-management platform,Test audit event appears in SIEM within expected latency,
SECRET_STORE_ENDPOINT,Endpoint of the approved secret-management platform itself,DEV/SIT/UAT/PROD,Public,DevOps/Platform Lead,Bootstrap configuration (outside repo),Application successfully retrieves a test secret at startup,
SECRET_STORE_AUTH_TOKEN,Bootstrap credential the application uses to authenticate to the secret store,DEV/SIT/UAT/PROD,Secret,DevOps/Platform Lead,"Injected via deployment platform identity/role, never a static file",Application successfully retrieves a test secret at startup; rotation tested,
DEPLOY_SERVICE_ACCOUNT_KEY,Credential used by CI/CD to deploy infrastructure and application artifacts,SIT/UAT/PROD,Secret,DevOps/Platform Lead,CI/CD platform's native secret store,"Pipeline deploy stage succeeds using scoped, least-privilege permissions",
CONTAINER_REGISTRY_TOKEN,Authentication token for pushing/pulling build artifacts,All (CI/CD),Secret,DevOps/Platform Lead,CI/CD platform's native secret store,Pipeline push/pull stage succeeds,
RATE_LIMIT_STORE_CONNECTION_STRING,Connection string for the distributed rate-limit counter store (e.g. Redis),SIT/UAT/PROD,Secret,DevOps/Platform Lead,Approved secret-management platform,Throttling behaves consistently across multiple API instances in a load test,
CORS_ALLOWED_ORIGINS,Comma-separated allowlist of frontend origins permitted to call the API,DEV/SIT/UAT/PROD,Public,Security Lead,Application configuration store,Request from a non-listed origin is rejected by CORS in a test,
APP_BASE_URL,Canonical public base URL of the application per environment,DEV/SIT/UAT/PROD,Public,DevOps/Platform Lead,Application configuration store,Generated links (e.g. in notification emails) resolve correctly,
LOG_LEVEL,Application log verbosity level,DEV/SIT/UAT/PROD,Public,DevOps/Platform Lead,Application configuration store,Log output verbosity matches configured level in a smoke test,
APM_DSN,Ingestion key/DSN for the APM/error-tracking provider,SIT/UAT/PROD,Secret,DevOps/Platform Lead,Approved secret-management platform,Test exception appears in APM dashboard,
APM_ENVIRONMENT_TAG,Environment tag attached to APM events (dev/sit/uat/prod),DEV/SIT/UAT/PROD,Public,DevOps/Platform Lead,Application configuration store,Events in APM dashboard are correctly filtered by environment tag,
UPTIME_MONITOR_API_KEY,API key for the external uptime-monitoring service,SIT/UAT/PROD,Secret,DevOps/Platform Lead,Approved secret-management platform,Simulated outage triggers a monitor alert,
ALERT_CHANNEL_WEBHOOK_URL,Webhook URL for routing operational alerts to the on-call channel,SIT/UAT/PROD,Secret,DevOps/Platform Lead,Approved secret-management platform,Test alert is received in the configured channel,
E2E_TEST_USER_CREDENTIALS_SECRET_REF,Reference to the secret-store entry holding synthetic end-to-end test user credentials (never real AHDA user credentials),DEV/SIT,Secret,QA Lead,"Approved secret-management platform, CI/CD native secret store for pipeline execution",E2E suite authenticates successfully using only referenced synthetic accounts,
LEGACY_SYSTEM_CONNECTION_STRING,"Read-only, time-boxed connection to AHDA's legacy project-records source for cutover (source system TBC, see Open Questions)",Cutover window only,Secret,AHDA IT / DevOps Lead,"Approved secret-management platform, access revoked immediately after cutover window",Connection is read-only (write attempt fails) and is confirmed revoked after the cutover window closes,Unchanged — legacy source system remains an open question (OQ-008).
SMS_PROVIDER_API_KEY,API key or token for the SMS provider gateway,SIT/UAT/PROD,Secret,DevOps/Platform Lead,Approved secret-management platform,Test SMS delivered to a controlled handset and a delivery receipt recorded,Added 19 Sep 2026 by ADR-004.
SMS_PROVIDER_ENDPOINT,Base endpoint of the SMS provider API,SIT/UAT/PROD,Public,DevOps/Platform Lead,Application configuration store,Test send succeeds against the configured endpoint,Added 19 Sep 2026 by ADR-004. Provider must be CST-licensed with in-Kingdom processing.
SMS_SENDER_ID,Registered alphanumeric sender ID shown to recipients,SIT/UAT/PROD,Public,AHDA IT / PMO,Application configuration store,"Message arrives displaying the registered sender name, not a number",Added 19 Sep 2026 by ADR-004. Registration with CST takes about two weeks — see OQ-012.
SMS_DLR_CALLBACK_URL,Registered callback URL receiving delivery receipts from the provider,SIT/UAT/PROD,Public,DevOps/Platform Lead,Application configuration store,Delivery receipt is received and the message state moves to delivered,Added 19 Sep 2026 by ADR-004. Inbound endpoint — include in the threat model under TASK-081.
