PTBC ID,Theme,Category,Source spec,Resolution gate,Gate basis,FG-04 configurable,Status,Decision owner,AHDA-approved value,Working baseline (not approved),Linked tasks,Earliest linked wave,Evidence
PTBC-011,Mandatory formal audit event classes,Audit & Logging,FG-06; Blueprint v2.0 Section 18,Before Build/Integration Build,The audit store is append-only; an event class not captured at build cannot be reconstructed later,No,Open,AHDA Cybersecurity / PMO,,,"TASK-033, TASK-073",W1,"TASK-033 Detailed Description: 'Emit formal Audit events (FG-06, PTBC-011/029)'"
PTBC-012,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-013,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-014,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-015,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-016,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-017,"Risk and issue probability/impact matrix - level descriptions, boundaries, 5x5 mapping, rating labels",Risk & Issue,WF-06; WF-07,Before UAT,"ADR-011 fixed the record structure before P9 build; the values are pinned per assessment version, so they can be published later without rewriting history","Yes - FG-04 published configuration, version-pinned at assessment time",Partially Resolved,AHDA Business Sponsor / Risk & Portfolio Office,"Shape only: impact is multi-dimensional (cost, schedule, reputation and at least one operational dimension), five levels per dimension, same scale for risks and issues (ADR-011, AHDA gate 19 Sep 2026)",,"TASK-027, TASK-034, TASK-055, TASK-056, TASK-057, TASK-059",W1,OQ-006; ADR-011; TASK-055 Detailed Description
PTBC-018,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-019,PENDING - not recoverable from available sources; cited jointly with PTBC-006 as a milestone-evidence precondition,Evidence & Documentation,PENDING (Blueprint v2.0 Appendix F.2),Before UAT,"Assigned the same gate as PTBC-006, with which the workbook cites it as a single precondition",PENDING,Open,AHDA PMO,,,TASK-051,W4,TASK-051 Acceptance Criteria: '(once PTBC-006/PTBC-019 are resolved)'
PTBC-020,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-021,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-022,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-023,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-024,KPI formulas and targets,Financial & KPI,WF-14; Blueprint v2.0 Section 8.1,Before UAT,"Target versions are immutable and measurements pin the version effective when recorded, so targets can be published later; UAT cannot validate KPI status without them",Yes - FG-04 published configuration; approved Target Versions,Open,AHDA Business Sponsor / AHDA PMO,,,"TASK-034, TASK-052, TASK-053",W1,"OQ-006 (positional reading: OQ-006 lists risk matrix, KPI formulas/targets, financial thresholds against PTBC-017, PTBC-024, PTBC-025 in that order - confirm against Appendix F.2)"
PTBC-025,Financial condition and variance thresholds,Financial & KPI,WF-14; Blueprint v2.0 Section 8.1,Before UAT,"Condition is a derived display state over stored figures; it can be configured after the figures exist, but UAT cannot score it without the thresholds",Yes - FG-04 published configuration,Open,AHDA Business Sponsor / AHDA Finance,,,"TASK-034, TASK-052, TASK-053",W1,OQ-006 (positional reading - see PTBC-024)
PTBC-026,PENDING - not recoverable from available sources; within the cybersecurity governance group PTBC-026 to PTBC-030,Cybersecurity Governance,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,AHDA Cybersecurity,,,TASK-010,W0,TASK-010 Validation Checks: 'confirm PTBC-026 through PTBC-030 (cybersecurity governance themes) are each linked to a matrix row'
PTBC-027,"MFA and privileged-access policy, and the step-up authentication trigger list",Cybersecurity Governance,FG-03; Blueprint v2.0 Section 22,Before UAT,ADR-010 fixes that step-up applies to privileged and sensitive actions; the mechanism is built now and the trigger list is configuration,Yes - trigger list configurable,Partially Resolved,AHDA Cybersecurity,"Step-up authentication applies to privileged and sensitive actions (ADR-010, AHDA gate 19 Sep 2026)",,"TASK-010, TASK-029",W0,"TASK-029 Detailed Description: 'per PTBC-027, pending AHDA's exact MFA/PAM policy confirmation'; TASK-029 Gate Decision Applied"
PTBC-028,PENDING - not recoverable from available sources; within the cybersecurity governance group PTBC-026 to PTBC-030,Cybersecurity Governance,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,AHDA Cybersecurity,,,TASK-010,W0,TASK-010 Validation Checks
PTBC-029,SIEM forwarding subset - which audit and security event classes are forwarded,Cybersecurity Governance,"FG-06; Blueprint v2.0 Sections 18, 22",Before Production,Forwarding is deployment configuration over events already captured under PTBC-011; it does not change what is stored,Yes - forwarding rules configurable,Open,AHDA Cybersecurity,,,"TASK-010, TASK-033, TASK-083",W0,TASK-033 Detailed Description: 'forwarding a defined subset to SIEM per PTBC-029'
PTBC-030,PENDING - not recoverable from available sources; within the cybersecurity governance group PTBC-026 to PTBC-030,Cybersecurity Governance,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,AHDA Cybersecurity,,,TASK-010,W0,TASK-010 Validation Checks
PTBC-031,Nafath use case scope and identity data-minimisation boundary,Integration,WF-13; FG-05; RFP integration requirement,Before Build/Integration Build,The minimisation decision determines which identity attributes are stored; storing first and deleting later is not a remedy for personal data,No,Partially Resolved,AHDA IT (Identity) / AHDA Cybersecurity,"In scope for external entity users, identity verification at onboarding only, never internal sign-in; a persistent sign-in session follows verification (ADR-007, ADR-013)",,"TASK-013, TASK-068",W1,"OQ-007; ADR-007; ADR-013; Environment and Secrets, NAFATH_CLIENT_ID: 'subject to PTBC-031 scope confirmation'"
PTBC-032,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-033,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-034,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-035,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-036,Authoritative directory and role-sync model,Identity & Access,FG-03; ADM-041,Before Build/Integration Build,Determines whether platform roles are inherited from directory groups or assigned in the platform - a structural choice in the authorization model,No,Resolved,AHDA IT (Identity),"AHDA's existing directory with SSO. The directory is authoritative for department, manager and job title. Platform roles are assigned in the platform and are NOT inherited from directory groups (ADR-007, AHDA gate 19 Sep 2026)",,"TASK-013, TASK-028",W1,TASK-028 Detailed Description: 'PTBC-036: authoritative directory and sync model is Open Question pending AHDA IT input'; TASK-028 Gate Decision Applied; ADR-007
PTBC-037,"Operational alert thresholds - availability, freshness, queue backlog, reconciliation mismatch",Observability & Operations,FG-05; Blueprint v2.0 Section 17.1,Before Production,Alerting is an operational target over a built mechanism; it changes no stored data and no functional UAT outcome,Yes - alert thresholds configurable,Open,AHDA IT / DevOps Lead,,,"TASK-075, TASK-091, TASK-092",W2,TASK-092 Detailed Description: 'once PTBC-037/046 values are confirmed by AHDA'
PTBC-038,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-039,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-040,Target accessibility conformance level,Non-Functional,Blueprint v2.0 (non-functional requirements),Before UAT,"The audit is scored against the level; the level must be fixed before the P15 audit, not after its findings are known",No,Open (baseline proposed),AHDA Business Sponsor,,"WCAG 2.1 Level AA - delivery-team position, proposed for AHDA confirmation, not an AHDA decision","TASK-084, TASK-087",W1,OQ-010; TASK-087 Gate Decision Applied; Release Checklist 'Accessibility Audit Findings Closed'
PTBC-041,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-042,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-043,Platform performance and NFR thresholds,Non-Functional,Blueprint v2.0 (non-functional requirements); RFP capacity statement,Before UAT,Load testing and the release gate are scored against the thresholds; the indexing baseline is sized to them,No,Open (baseline proposed),AHDA Business Sponsor / AHDA IT,,"150 named users, 25 concurrent, 50 at peak - delivery-team position from the brief's capacity assumption, proposed for AHDA confirmation","TASK-026, TASK-084, TASK-086",W1,OQ-010; TASK-086 Detailed Description; Release Checklist 'Performance/Load Test Within Target'
PTBC-044,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-045,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-046,PENDING - not recoverable from available sources; cited jointly with PTBC-037 as an operational threshold value,Observability & Operations,PENDING (Blueprint v2.0 Appendix F.2),Before Production,"Assigned the same gate as PTBC-037, with which the workbook cites it as a single precondition",PENDING,Unpopulated,AHDA IT / DevOps Lead,,,TASK-092,W6,TASK-092 Detailed Description: 'once PTBC-037/046 values are confirmed by AHDA'
PTBC-047,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-048,Backup retention period and disaster-recovery objectives (RPO/RTO),Infrastructure & DR,Blueprint v2.0 Section 22; AHDA IT business continuity plan,Before Production,The mechanism is built with the period configurable; the release gate 'Backup & DR Restore Drill Passed' is scored on the values before go-live,Yes - retention period configurable,Partially Resolved,AHDA IT (RPO/RTO); AHDA Cybersecurity + Records (retention),"RPO 1 hour; RTO 4 to 6 hours (AHDA IT business continuity plan, AHDA gate 19 Sep 2026, recorded in ADR-001 and OQ-003). Retention period: no value - still open",,"TASK-020, TASK-023, TASK-093",W1,OQ-003; ADR-001; TASK-020 and TASK-023 Gate Decision Applied; docs/rtm/step-14b-rtm-findings-closure.md F-03
